DisNo.,Historic,Classification Key,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,External IDs,Event Name,ISO,Country,Subregion,Region,Location,Origin,Associated Types,OFDA/BHA Response,Appeal,Declaration,AID Contribution ('000 US$),Magnitude,Magnitude Scale,Latitude,Longitude,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No. Injured,No. Affected,No. Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damage ('000 US$),"Insured Damage, Adjusted ('000 US$)",Total Damage ('000 US$),"Total Damage, Adjusted ('000 US$)",CPI,Admin Units,Entry Date,Last Update
1905-0001-ITA,Yes,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,,,ITA,Italy,Southern Europe,Europe,"MONTELEONE, TROPEA, MONTE PORO (Calabria)",,,No,No,No,,7.1,Richter,38.67,16.07,,1905,9,8,1905,9,8,557,2000,,20100,22100,,,,,,,3.070275188,,2003-07-01,2023-09-25
1906-0012-ITA,Yes,nat-geo-vol-ash,Natural,Geophysical,Volcanic activity,Ash fall,,Mt. Vesuve,ITA,Italy,Southern Europe,Europe,,,,No,No,No,,,,40.821,14.426,,1906,4,18,1906,4,18,700,,,,,,,,,,,3.070275188,,2003-11-16,2023-09-25
1908-0007-ITA,Yes,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,,,ITA,Italy,Southern Europe,Europe,"Messina, Regio, Calabria, Sicilia",,Tsunami/Tidal wave,No,No,No,,7,Richter,38.17,15.58,,1908,12,28,1908,12,28,75000,,150000,,150000,,,,,116000,3778163,3.070275188,,2011-05-23,2023-09-25
1914-0028-ITA,Yes,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,,,ITA,Italy,Southern Europe,Europe,"Catania, Etna",,,No,No,No,,4.9,Richter,37.7,15.2,,1914,5,8,1914,5,8,120,,,669,669,,,,,,,3.416467373,,2019-08-07,2023-09-25
1915-0002-ITA,Yes,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,,,ITA,Italy,Southern Europe,Europe,"Avezzano, Marsica (Abruzze)",,,No,No,No,,7.5,Richter,42.02,13.26,,1915,1,13,1915,1,13,29980,,,,,,,,,60000,1738812,3.450632046,,2011-05-23,2023-09-25
1920-0014-ITA,Yes,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,,,ITA,Italy,Southern Europe,Europe,"Carrara, Farfagnana",,,No,No,No,,5.8,Richter,44.3,10.3,,1920,9,7,1920,9,7,1400,,,,,,,,,,,6.832934745,,2003-07-01,2023-09-25
1922-0002-ITA,Yes,nat-hyd-mmw-lan,Natural,Hydrological,Mass movement (wet),Landslide (wet),,,ITA,Italy,Southern Europe,Europe,Sicily,,,No,No,No,,,,,,,1922,2,11,1922,2,11,100,,,,,,,,,,,5.739665186,,2003-07-01,2023-09-25
1930-0008-ITA,Yes,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,,,ITA,Italy,Southern Europe,Europe,"Irpina, Naples",,,No,No,No,,6.4,Richter,40.922,15.377,,1930,7,23,1930,7,23,1883,,10000,,10000,,,,,5000,87635,5.705500512,,2003-07-01,2023-09-25
1930-0033-ITA,Yes,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,,,ITA,Italy,Southern Europe,Europe,Senigalia,,,No,No,No,,5.9,Richter,43.667,13.267,,1930,10,30,1930,10,30,18,,,,,,,,,,,5.705500512,,2019-08-08,2023-09-25
1933-0027-ITA,Yes,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,,,ITA,Italy,Southern Europe,Europe,Central,,,No,No,No,,,Richter,42,14.2,,1933,9,26,1933,9,26,10,,,,,,,,,,,4.407242911,,2019-08-12,2023-09-25
1935-0025-ITA,Yes,tec-tra-air-air,Technological,Transport,Air,Air,,Short Kent,ITA,Italy,Southern Europe,Europe,Brindisi,,,No,No,No,,,,,,,1935,11,9,1935,11,9,12,,,,,,,,,,,4.680560301,,2003-07-01,2023-09-25
1938-0015-ITA,Yes,tec-tra-air-air,Technological,Transport,Air,Air,,Junkers JU-52,ITA,Italy,Southern Europe,Europe,Near Formia,,,No,No,No,,,,,,,1938,4,30,1938,4,30,19,,,,,,,,,,,4.817218996,,2003-07-01,2023-09-25
1938-0020-ITA,Yes,tec-tra-air-air,Technological,Transport,Air,Air,,Savoia Marchetti S-66,ITA,Italy,Southern Europe,Europe,Off Sardinia,,,No,No,No,,,,,,,1938,7,14,1938,7,14,20,,,,,,,,,,,4.817218996,,2003-07-01,2023-09-25
1938-0024-ITA,Yes,tec-tra-air-air,Technological,Transport,Air,Air,,Macchhi C-94,ITA,Italy,Southern Europe,Europe,Montnago,,,No,No,No,,,,,,,1938,8,18,1938,8,18,15,,,,,,,,,,,4.817218996,,2003-07-01,2023-09-25
1939-0018-ITA,Yes,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,ITA,Italy,Southern Europe,Europe,Soverato,,,No,No,No,,,Km2,,,,1939,,,1939,,,10,,,,,,,,,,,4.748889648,,2003-07-01,2023-09-25
1944-0023-ITA,Yes,tec-tra-rai-rai,Technological,Transport,Rail,Rail,,,ITA,Italy,Southern Europe,Europe,Salerno,,,No,No,No,,,,,,,1944,3,4,1944,3,4,521,,,,,,,,,,,6.012982576,,2003-07-01,2023-09-25
1944-0044-ITA,Yes,nat-geo-vol-ash,Natural,Geophysical,Volcanic activity,Ash fall,,Mt. Vesuve,ITA,Italy,Southern Europe,Europe,Napoli,,,No,No,No,,,,40.821,14.426,,1944,3,18,1944,3,18,26,,,14000,14000,,,,,,,6.012982576,,2006-02-09,2023-09-25
1948-0023-ITA,Yes,nat-met-sto-sto,Natural,Meteorological,Storm,Storm (General),,,ITA,Italy,Southern Europe,Europe,,,,No,No,No,,,Kph,,,,1948,9,,1948,9,,80,,,,,,,,,,,8.199521695,,2003-07-01,2023-09-25
1948-0026-ITA,Yes,nat-hyd-mmw-lan,Natural,Hydrological,Mass movement (wet),Landslide (wet),,,ITA,Italy,Southern Europe,Europe,,,,No,No,No,,,,,,,1948,11,,1948,11,,25,,,,,,,,,,,8.199521695,,2003-07-01,2023-09-25
1951-0020-ITA,Yes,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,ITA,Italy,Southern Europe,Europe,"Po river Valley, Polesine",,,No,No,No,,,Km2,,,,1951,11,14,1951,11,14,100,,,170000,170000,,,,,300000,3377308,8.882815169,,2006-02-09,2023-09-25
1951-0042-ITA,Yes,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,ITA,Italy,Southern Europe,Europe,Reggio Calabria,,,No,No,No,,,Km2,,,,1951,10,16,1951,10,16,63,,,3500,3500,,,,,,,8.882815169,,2006-02-09,2023-09-25
1953-0056-ITA,Yes,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,ITA,Italy,Southern Europe,Europe,Catanzaro (Reggio Calabria),,,No,No,No,,,Km2,,,,1953,10,21,1953,10,21,100,,,4000,4000,,,,,,,9.156132559,,2006-02-09,2023-09-25
1954-0058-ITA,Yes,nat-hyd-mmw-lan,Natural,Hydrological,Mass movement (wet),Landslide (wet),,,ITA,Italy,Southern Europe,Europe,Salerno,,,No,No,No,,,,,,,1954,10,25,1954,10,25,297,,,5466,5466,,,,,,,9.190297233,,2006-02-09,2023-09-25
1955-0053-ITA,Yes,tec-tra-air-air,Technological,Transport,Air,Air,,DC-6b,ITA,Italy,Southern Europe,Europe,Terminillo (Italy),,,No,No,No,,,,,,,1955,2,13,1955,2,13,29,,,,,,,,,,,9.149004407,,2005-04-15,2023-09-25
1960-0059-ITA,Yes,nat-hyd-mmw-lan,Natural,Hydrological,Mass movement (wet),Landslide (wet),,,ITA,Italy,Southern Europe,Europe,Loveno,,,No,No,No,,,,,,,1960,9,17,1960,9,17,12,,,,,,,,,,,10.10576299,,2006-02-09,2023-09-25
1962-0045-ITA,Yes,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,,,ITA,Italy,Southern Europe,Europe,Irpinia,,,No,No,No,,6.1,Richter,41.4,15.5,,1962,8,21,1962,8,21,16,,,30000,30000,,,,,,,10.33641036,,2006-02-09,2023-09-25
1963-0032-ITA,Yes,nat-hyd-mmw-lan,Natural,Hydrological,Mass movement (wet),Landslide (wet),,,ITA,Italy,Southern Europe,Europe,"Vajont dam, Longarone (Belluno, Podova)",,,No,No,No,,,,,,,1963,10,9,1963,10,9,1917,,,,,,,,,,,10.46454239,,2006-02-09,2023-09-25
1965-0041-ITA,Yes,nat-met-sto-tor,Natural,Meteorological,Storm,Tornado,,,ITA,Italy,Southern Europe,Europe,North,,,No,No,No,,,Kph,,,,1965,7,5,1965,7,5,37,,,,,,,,,,,10.76637873,,2003-07-01,2023-09-25
1965-0052-ITA,Yes,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,ITA,Italy,Southern Europe,Europe,Rome to Sicily,,,No,No,No,,,Km2,,,,1965,9,2,1965,9,2,55,,,,,,,,,,,10.76637873,,2003-07-01,2023-09-25
1966-0086-ITA,Yes,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,ITA,Italy,Southern Europe,Europe,"Florence, Venice",,,Yes,No,No,,,Km2,,,,1966,11,3,1966,11,3,70,,,1300000,1300000,,,,,2000000,18032644,11.09099715,,2006-02-09,2023-09-25
1968-0023-ITA,Yes,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,,,ITA,Italy,Southern Europe,Europe,Belice Valley (Western Sicily),,,Yes,No,No,,6.4,Richter,37.702,13.033,,1968,1,15,1968,1,15,224,563,55000,,55563,,,,,250000,2103413,11.88544651,,2006-02-09,2023-09-25
1968-0081-ITA,Yes,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,ITA,Italy,Southern Europe,Europe,"Piedmont, Asti, Biella, Novarra",,,No,No,No,,,Km2,,,,1968,11,2,1968,11,2,72,,,3000,3000,,,,,,,11.88544651,,2006-02-09,2023-09-25
1970-0047-ITA,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,,ITA,Italy,Southern Europe,Europe,Venice,,,No,No,No,,,Kph,,,,1970,9,11,1970,9,11,35,,200,,200,,,,,3200,24121,13.26647996,,2003-07-01,2023-09-25
1970-0055-ITA,Yes,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,ITA,Italy,Southern Europe,Europe,Genoa provinces,,,Yes,No,No,,,Km2,,,,1970,10,7,1970,10,7,37,,1300000,1650,1301650,,,,,268300,2022390,13.26647996,,2003-07-01,2023-09-25
1971-0014-ITA,Yes,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,,,ITA,Italy,Southern Europe,Europe,Toscana,,,No,No,No,,4.6,Richter,42.5,11.8,,1971,2,6,1971,2,6,22,100,4120,,4220,,,,,41600,300665,13.83598355,,2004-01-29,2023-09-25
1972-0084-ITA,Yes,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,,,ITA,Italy,Southern Europe,Europe,Ancona,,,No,No,No,,4.8,Richter,43.8,13.3,,1972,2,4,1972,2,4,1,,450,,450,,,,,,,14.288734,,2004-04-05,2023-09-25
1972-0150-ITA,Yes,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,,,ITA,Italy,Southern Europe,Europe,Ancona,,,No,No,No,,4.4,Richter,43.8,13.3,,1972,6,21,1972,6,21,2,,,,,,,,,300000,2099556,14.288734,,2020-04-09,2023-09-25
1973-0001-ITA,Yes,nat-met-sto-sto,Natural,Meteorological,Storm,Storm (General),,,ITA,Italy,Southern Europe,Europe,South Sicily,,,No,No,No,,,Kph,,,,1973,1,1,1973,1,1,24,,5000,,5000,,,,,360000,2372878,15.17145282,,2003-07-01,2023-09-25
1973-0032-ITA,Yes,nat-met-sto-sto,Natural,Meteorological,Storm,Storm (General),,,ITA,Italy,Southern Europe,Europe,Riviera,,,No,No,No,,,Kph,,,,1973,7,14,1973,7,14,14,,,,,,,,,,,15.17145282,,2003-07-01,2023-09-25
1973-0041-ITA,Yes,nat-met-sto-sto,Natural,Meteorological,Storm,Storm (General),,,ITA,Italy,Southern Europe,Europe,Palermo,,,No,No,No,,,Kph,,,,1973,10,,1973,10,,,,,,,,,,,120000,790959,15.17145282,,2003-07-01,2023-09-25
1975-0025-ITA,Yes,nat-hyd-mmw-lan,Natural,Hydrological,Mass movement (wet),Landslide (wet),,,ITA,Italy,Southern Europe,Europe,Alps,,,No,No,No,,,,,,,1975,4,,1975,4,,12,,,,,,,,,,,18.38912907,,2003-07-01,2023-09-25
1976-0037-ITA,Yes,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,,,ITA,Italy,Southern Europe,Europe,Friuli region,,,No,No,No,,6.5,Richter,46.356,13.275,,1976,5,6,1976,5,6,922,1750,111472,105000,218222,,,,,3600000,18513239,19.44554409,,2004-01-27,2023-09-25
1976-0046-ITA,Yes,tec-ind-exp-exp,Technological,Industrial accident,Explosion (Industrial),Explosion (Industrial),,Chemical plant,ITA,Italy,Southern Europe,Europe,Seveso,,,Yes,No,No,,,m3,,,,1976,7,10,1976,7,10,,193,700,190000,190893,,,,,,,19.44554409,,2003-07-01,2023-09-25
1976-0190-ITA,Yes,tec-mis-mis-mis,Technological,Miscellaneous accident,Miscellaneous accident (General),Miscellaneous accident (General),,,ITA,Italy,Southern Europe,Europe,Cavalese,,,No,No,No,,,,,,,1976,3,10,1976,3,10,42,,,,,,,,,,,19.44554409,,2003-07-01,2023-09-25
1976-0195-ITA,Yes,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,,,ITA,Italy,Southern Europe,Europe,Friuli,,,Yes,No,No,,,Richter,,,,1976,9,9,1976,9,9,12,,,32000,32000,,,,,,,19.44554409,,2006-02-09,2023-09-25
1976-0196-ITA,Yes,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,,,ITA,Italy,Southern Europe,Europe,Northeastern,,,No,No,No,,,Richter,46.302,13.197,,1976,9,15,1976,9,15,11,,,,,,,,,,,19.44554409,,2020-09-03,2023-09-25
1977-0063-ITA,Yes,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,ITA,Italy,Southern Europe,Europe,South West Turin,,,No,No,No,,,Km2,,,,1977,5,,1977,5,,7,,,,,,,,,44000,212459,20.7098325,,2003-07-01,2023-09-25
1977-0122-ITA,Yes,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,ITA,Italy,Southern Europe,Europe,North (Po plain),,,No,No,No,,,Km2,,,,1977,10,,1977,10,,16,,1000,,1000,,,,,150000,724294,20.7098325,,2003-07-01,2023-09-25
1978-0054-ITA,Yes,tec-tra-rai-rai,Technological,Transport,Rail,Rail,,,ITA,Italy,Southern Europe,Europe,Bologna,,,No,No,No,,,,,,,1978,4,14,1978,4,14,43,120,,,120,,,,,,,22.29019504,,2003-07-01,2023-09-25
1978-0057-ITA,Yes,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,,,ITA,Italy,Southern Europe,Europe,Sicily,,,No,No,No,,5.7,Richter,38.391,15.066,,1978,4,16,1978,4,16,5,,900,,900,,,,,,,22.29019504,,2004-01-23,2023-09-25
1978-0082-ITA,Yes,nat-met-sto-tor,Natural,Meteorological,Storm,Tornado,,,ITA,Italy,Southern Europe,Europe,Udine,,,No,No,No,,,Kph,,,,1978,6,25,1978,6,25,1,19,,,19,,,,,1000,4486,22.29019504,,2003-07-01,2023-09-25
1978-0190-ITA,Yes,tec-ind-che-che,Technological,Industrial accident,Chemical spill,Chemical spill,,,ITA,Italy,Southern Europe,Europe,Manfradonia,,,No,No,No,,,m3,,,,1978,,,1978,,,,,10000,,10000,,,,,,,22.29019504,,2003-07-01,2023-09-25
1979-0087-ITA,Yes,nat-geo-vol-ash,Natural,Geophysical,Volcanic activity,Ash fall,,Mt. Etna,ITA,Italy,Southern Europe,Europe,Sicily,,,No,No,No,,,,37.734,15.004,,1979,9,12,1979,9,12,9,24,,,24,,,,,,,24.79884057,,2003-07-01,2023-09-25
1979-0216-ITA,Yes,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,,,ITA,Italy,Southern Europe,Europe,Val Nerina (Umbria),,,No,No,No,,5.8,Richter,42.812,13.061,,1979,9,19,1979,9,19,5,,,5000,5000,,,,,,,24.79884057,,2010-03-12,2023-09-25
1980-0075-ITA,Yes,tec-mis-exp-exp,Technological,Miscellaneous accident,Explosion (Miscellaneous),Explosion (Miscellaneous),,,ITA,Italy,Southern Europe,Europe,,,,No,No,No,,,,,,,1980,8,2,1980,8,2,76,200,,,200,,,,,,,28.15888663,,2003-07-01,2023-09-25
1980-0102-ITA,Yes,tec-tra-rai-rai,Technological,Transport,Rail,Rail,,,ITA,Italy,Southern Europe,Europe,Vibo Valentia,,,No,No,No,,,,,,,1980,11,21,1980,11,21,28,100,,,100,,,,,,,28.15888663,,2003-07-01,2023-09-25
1980-0103-ITA,Yes,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,,,ITA,Italy,Southern Europe,Europe,"Avellino, Potenza, Caserta, Naples",,,Yes,No,No,,6.9,Richter,40.914,15.366,,1980,11,23,1980,11,23,4689,7700,400000,,407700,,,,,20000000,71025535,28.15888663,,2004-01-20,2023-09-25
1981-0123-ITA,Yes,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,,,ITA,Italy,Southern Europe,Europe,Mazara del Vallo area (Sicily),,,No,No,No,,4.9,Richter,37.67,12.47,,1981,6,7,1981,6,7,,6,300,,306,,,,,,,31.06902495,,2004-04-01,2023-09-25
1981-0224-ITA,Yes,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,,,ITA,Italy,Southern Europe,Europe,South,,,No,No,No,,4.6,Richter,41.051,14.601,,1981,2,14,1981,2,14,12,,,,,,,,,500,1609,31.06902495,,2004-01-16,2023-09-25
1982-0035-ITA,Yes,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,,,ITA,Italy,Southern Europe,Europe,"Avellino, Potenza",,,No,No,No,,,Richter,,,,1982,3,21,1982,3,21,,,1000,,1000,,,,,,,32.97399781,,2004-01-16,2023-09-25
1982-0106-ITA,Yes,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,,,ITA,Italy,Southern Europe,Europe,Perugia area (Umbria),,,No,No,No,,4.4,Richter,43.164,12.586,,1982,10,17,1982,10,17,,,5000,,5000,,,,,35000,106144,32.97399781,,2004-01-16,2023-09-25
1982-0132-ITA,Yes,nat-hyd-mmw-lan,Natural,Hydrological,Mass movement (wet),Landslide (wet),,,ITA,Italy,Southern Europe,Europe,Ancona,,,No,No,No,,,,,,,1982,12,14,1982,12,14,,,4000,,4000,,,,,700000,2122885,32.97399781,,2003-07-01,2023-09-25
1983-0099-ITA,Yes,nat-cli-wil-for,Natural,Climatological,Wildfire,Forest fire,,,ITA,Italy,Southern Europe,Europe,"Sardinia, Calabria",,,Yes,No,No,,1000,Km2,,,,1983,7,25,1983,7,25,7,20,,,20,,,,,,,34.03326363,,2003-07-01,2023-09-25
1983-0112-ITA,Yes,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,,,ITA,Italy,Southern Europe,Europe,Pozzuoli (Naples),,,No,No,No,,,Richter,40.5,14.15,,1983,9,19,1983,9,19,,30,20000,1000,21030,,,,,,,34.03326363,,2006-02-09,2023-09-25
1983-0368-ITA,Yes,nat-hyd-mmw-lan,Natural,Hydrological,Mass movement (wet),Landslide (wet),,,ITA,Italy,Southern Europe,Europe,Lombardy province,,,No,No,No,,,,,,,1983,5,22,1983,5,22,,,,,,,,,,,,34.03326363,,2006-02-09,2023-09-25
1983-0532-ITA,Yes,tec-mis-mis-mis,Technological,Miscellaneous accident,Miscellaneous accident (General),Miscellaneous accident (General),,,ITA,Italy,Southern Europe,Europe,Val d'Aoste,,,No,No,No,,,,,,,1983,2,13,1983,2,13,11,,,,,,,,,,,34.03326363,,2003-07-01,2023-09-25
1983-0533-ITA,Yes,tec-mis-fir-fir,Technological,Miscellaneous accident,Fire (Miscellaneous),Fire (Miscellaneous),,Cinema,ITA,Italy,Southern Europe,Europe,Turin,,,No,No,No,,,,,,,1983,2,1,1983,2,1,64,,,,,,,,,,,34.03326363,,2003-07-01,2023-09-25
1983-0589-ITA,Yes,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,,,ITA,Italy,Southern Europe,Europe,Parma,,,No,No,No,,,Richter,44.689,10.317,,1983,11,9,1983,11,9,,100,,,100,,,,,,,34.03326363,,2022-05-19,2023-09-25
1984-0038-ITA,Yes,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,,,ITA,Italy,Southern Europe,Europe,"Assisi, Gubbio, Perugia area (Umbria Province)",,,No,No,No,,5.8,Richter,43.26,12.558,,1984,4,29,1984,4,29,3,200,,4000,4200,,,,,25000,70429,35.49688113,,2004-01-13,2023-09-25
1984-0047-ITA,Yes,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,,,ITA,Italy,Southern Europe,Europe,Abruzzo area,,,No,No,No,,5.4,Richter,42.1,13.5,,1984,5,7,1984,5,7,3,83,5000,,5083,,,,,,,35.49688113,,2004-01-13,2023-09-25
1984-0107-ITA,Yes,tec-mis-fir-fir,Technological,Miscellaneous accident,Fire (Miscellaneous),Fire (Miscellaneous),,,ITA,Italy,Southern Europe,Europe,Venice,,,No,No,No,,,,,,,1984,11,5,1984,11,5,,,,,,,,,,3000,8451,35.49688113,,2003-07-01,2023-09-25
1984-0122-ITA,Yes,tec-tra-rai-rai,Technological,Transport,Rail,Rail,,,ITA,Italy,Southern Europe,Europe,Near Florence,,,No,No,No,,,,,,,1984,12,13,1984,12,13,29,200,,,200,,,,,,,35.49688113,,2003-07-01,2023-09-25
1984-0274-ITA,Yes,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,,,ITA,Italy,Southern Europe,Europe,"Mt. Etna, Catania (Sicily)",,,No,No,No,,,Richter,37.31,15.06,,1984,10,20,1984,10,20,1,2,,300,302,,,,,,,35.49688113,,2004-01-13,2023-09-25
1984-0275-ITA,Yes,tec-ind-poi-poi,Technological,Industrial accident,Poisoning,Poisoning,,,ITA,Italy,Southern Europe,Europe,Caluso,,,No,No,No,,,m3,,,,1984,12,17,1984,12,17,,,800,,800,,,,,,,35.49688113,,2003-07-01,2023-09-25
1985-0081-ITA,Yes,nat-hyd-flo-fla,Natural,Hydrological,Flood,Flash flood,,,ITA,Italy,Southern Europe,Europe,Cavalese-Stava (Dolomites),,Broken Dam/Burst bank,No,No,No,,,Km2,,,,1985,7,19,1985,7,19,329,30,,,30,,,,,15000,40810,36.75546794,,2010-07-30,2023-09-25
1985-0262-ITA,Yes,tec-mis-col-col,Technological,Miscellaneous accident,Collapse (Miscellaneous),Collapse (Miscellaneous),,Building,ITA,Italy,Southern Europe,Europe,Castellanata,,,No,No,No,,,,,,,1985,2,7,1985,2,7,37,9,,,9,,,,,,,36.75546794,,2003-07-01,2023-09-25
1985-0264-ITA,Yes,tec-tra-roa-roa,Technological,Transport,Road,Road,,,ITA,Italy,Southern Europe,Europe,Near Santanna Vinadio,,,No,No,No,,,,,,,1985,8,5,1985,8,5,9,32,,,32,,,,,,,36.75546794,,2003-07-01,2023-09-25
